delay_id,shipment_id,duration_hours,reason,date
DLY-5270,SHP-1045,19.3,Vehicle Breakdown,2026-06-03
DLY-5271,SHP-1009,71.5,Weather,2026-06-30
DLY-5272,SHP-1459,31.6,Port Congestion,2026-05-17
DLY-5273,SHP-1064,26.8,Traffic,2026-06-21
DLY-5274,SHP-1223,64.6,Weather,2026-06-12
DLY-5275,SHP-1474,55.3,Port Congestion,2026-06-05
DLY-5276,SHP-1273,11.7,Weather,2026-06-20
DLY-5277,SHP-1393,8.8,Vehicle Breakdown,2026-06-27
DLY-5278,SHP-1014,50.8,Weather,2026-06-28
DLY-5279,SHP-1067,2.3,Weather,2026-06-21
DLY-5280,SHP-1096,2.9,Port Congestion,2026-07-08
DLY-5281,SHP-1209,10.7,Vehicle Breakdown,2026-05-18
DLY-5282,SHP-1497,35.8,Customs,2026-05-28
DLY-5283,SHP-1509,67.8,Weather,2026-07-10
DLY-5284,SHP-1491,20.4,Vehicle Breakdown,2026-07-13
DLY-5285,SHP-1427,1.8,Vehicle Breakdown,2026-06-11
DLY-5286,SHP-1457,2.0,Customs,2026-07-06
DLY-5287,SHP-1442,26.2,Port Congestion,2026-06-18
DLY-5288,SHP-1288,5.0,Port Congestion,2026-05-28
DLY-5289,SHP-1193,28.3,Port Congestion,2026-08-09
DLY-5290,SHP-1052,29.0,Vehicle Breakdown,2026-07-24
DLY-5291,SHP-1459,47.9,Vehicle Breakdown,2026-05-19
DLY-5292,SHP-1480,40.5,Weather,2026-07-31
DLY-5293,SHP-1338,24.4,Vehicle Breakdown,2026-06-15
DLY-5294,SHP-1462,63.8,Port Congestion,2026-07-04
DLY-5295,SHP-1495,28.3,Port Congestion,2026-05-21
DLY-5296,SHP-1443,64.4,Port Congestion,2026-05-21
DLY-5297,SHP-1303,51.4,Traffic,2026-07-17
DLY-5298,SHP-1204,8.9,Traffic,2026-05-13
DLY-5299,SHP-1301,63.5,Vehicle Breakdown,2026-05-23
DLY-5300,SHP-1259,62.2,Customs,2026-05-14
DLY-5301,SHP-1175,54.2,Traffic,2026-07-03
DLY-5302,SHP-1477,1.6,Customs,2026-06-13
DLY-5303,SHP-1290,34.1,Vehicle Breakdown,2026-05-18
DLY-5304,SHP-1424,14.5,Traffic,2026-07-09
DLY-5305,SHP-1511,1.8,Vehicle Breakdown,2026-06-30
DLY-5306,SHP-1298,31.7,Traffic,2026-07-02
DLY-5307,SHP-1202,60.3,Vehicle Breakdown,2026-07-07
DLY-5308,SHP-1134,70.3,Vehicle Breakdown,2026-06-04
DLY-5309,SHP-1418,67.8,Customs,2026-08-07
DLY-5310,SHP-1207,63.1,Vehicle Breakdown,2026-06-11
DLY-5311,SHP-1545,7.6,Customs,2026-08-04
DLY-5312,SHP-1469,1.8,Port Congestion,2026-06-03
DLY-5313,SHP-1203,10.7,Customs,2026-05-17
DLY-5314,SHP-1406,31.6,Customs,2026-07-05
DLY-5315,SHP-1004,27.3,Port Congestion,2026-06-18
DLY-5316,SHP-1517,26.2,Port Congestion,2026-07-05
DLY-5317,SHP-1256,2.6,Customs,2026-06-17
DLY-5318,SHP-1544,44.7,Vehicle Breakdown,2026-07-12
DLY-5319,SHP-1224,54.4,Customs,2026-06-18
DLY-5320,SHP-1249,57.6,Weather,2026-07-08
DLY-5321,SHP-1015,65.9,Customs,2026-06-16
DLY-5322,SHP-1390,12.9,Vehicle Breakdown,2026-06-11
DLY-5323,SHP-1283,18.3,Weather,2026-07-14
DLY-5324,SHP-1186,61.4,Traffic,2026-07-22
DLY-5325,SHP-1516,17.7,Vehicle Breakdown,2026-06-21
DLY-5326,SHP-1220,20.7,Vehicle Breakdown,2026-07-13
DLY-5327,SHP-1152,39.0,Weather,2026-08-10
DLY-5328,SHP-1477,31.1,Traffic,2026-05-26
DLY-5329,SHP-1546,7.8,Weather,2026-06-17
DLY-5330,SHP-1012,58.8,Customs,2026-07-05
DLY-5331,SHP-1243,41.5,Vehicle Breakdown,2026-08-04
DLY-5332,SHP-1252,69.3,Port Congestion,2026-07-23
DLY-5333,SHP-1299,38.6,Weather,2026-07-10
DLY-5334,SHP-1018,2.5,Traffic,2026-07-26
DLY-5335,SHP-1035,59.6,Customs,2026-08-07
DLY-5336,SHP-1265,48.5,Customs,2026-06-03
DLY-5337,SHP-1502,38.4,Customs,2026-06-18
DLY-5338,SHP-1201,56.8,Traffic,2026-07-30
DLY-5339,SHP-1277,39.2,Vehicle Breakdown,2026-06-21
DLY-5340,SHP-1045,41.5,Port Congestion,2026-05-30
DLY-5341,SHP-1512,3.3,Vehicle Breakdown,2026-08-03
DLY-5342,SHP-1404,65.8,Port Congestion,2026-08-06
DLY-5343,SHP-1038,53.7,Weather,2026-06-27
DLY-5344,SHP-1185,32.1,Weather,2026-05-27
DLY-5345,SHP-1382,51.6,Weather,2026-07-24
DLY-5346,SHP-1124,49.6,Vehicle Breakdown,2026-08-09
DLY-5347,SHP-1370,9.0,Weather,2026-07-19
DLY-5348,SHP-1136,61.3,Vehicle Breakdown,2026-05-27
DLY-5349,SHP-1482,27.8,Customs,2026-06-30
DLY-5350,SHP-1215,47.0,Weather,2026-06-06
DLY-5351,SHP-1281,53.3,Vehicle Breakdown,2026-06-23
DLY-5352,SHP-1280,13.3,Traffic,2026-05-24
DLY-5353,SHP-1425,45.5,Weather,2026-07-04
DLY-5354,SHP-1173,7.1,Traffic,2026-06-27
DLY-5355,SHP-1443,66.0,Traffic,2026-06-09
DLY-5356,SHP-1275,17.9,Traffic,2026-05-16
DLY-5357,SHP-1479,47.1,Weather,2026-06-18
DLY-5358,SHP-1138,8.6,Customs,2026-07-13
DLY-5359,SHP-1424,47.0,Traffic,2026-06-18
DLY-5360,SHP-1369,40.1,Port Congestion,2026-07-14
DLY-5361,SHP-1127,32.1,Vehicle Breakdown,2026-05-26
DLY-5362,SHP-1229,64.8,Traffic,2026-06-03
DLY-5363,SHP-1014,25.2,Vehicle Breakdown,2026-06-07
DLY-5364,SHP-1004,3.2,Traffic,2026-07-06
DLY-5365,SHP-1285,21.6,Vehicle Breakdown,2026-05-27
DLY-5366,SHP-1458,55.5,Vehicle Breakdown,2026-05-21
DLY-5367,SHP-1379,14.0,Vehicle Breakdown,2026-05-24
DLY-5368,SHP-1382,44.1,Vehicle Breakdown,2026-08-05
DLY-5369,SHP-1025,18.8,Traffic,2026-05-23
DLY-5370,SHP-1352,34.9,Port Congestion,2026-06-19
DLY-5371,SHP-1013,43.9,Customs,2026-06-01
DLY-5372,SHP-1439,4.4,Port Congestion,2026-05-18
DLY-5373,SHP-1188,58.7,Customs,2026-07-15
DLY-5374,SHP-1057,63.7,Vehicle Breakdown,2026-07-10
DLY-5375,SHP-1062,55.5,Vehicle Breakdown,2026-07-06
DLY-5376,SHP-1323,47.7,Port Congestion,2026-06-11
DLY-5377,SHP-1107,66.4,Port Congestion,2026-06-30
DLY-5378,SHP-1167,50.1,Traffic,2026-06-01
DLY-5379,SHP-1440,28.1,Traffic,2026-07-31
DLY-5380,SHP-1181,30.6,Traffic,2026-06-30
DLY-5381,SHP-1118,36.8,Weather,2026-06-01
DLY-5382,SHP-1516,54.2,Port Congestion,2026-06-30
DLY-5383,SHP-1032,25.7,Weather,2026-06-16
DLY-5384,SHP-1190,33.5,Vehicle Breakdown,2026-06-02
DLY-5385,SHP-1548,32.8,Customs,2026-07-24
DLY-5386,SHP-1120,25.4,Port Congestion,2026-06-04
DLY-5387,SHP-1304,66.6,Traffic,2026-07-20
DLY-5388,SHP-1319,5.8,Vehicle Breakdown,2026-06-24
DLY-5389,SHP-1154,65.0,Weather,2026-05-14
DLY-5390,SHP-1034,42.6,Weather,2026-05-21
DLY-5391,SHP-1493,55.6,Traffic,2026-07-23
DLY-5392,SHP-1064,61.3,Vehicle Breakdown,2026-06-26
DLY-5393,SHP-1440,63.7,Customs,2026-07-31
DLY-5394,SHP-1530,15.9,Vehicle Breakdown,2026-08-10
DLY-5395,SHP-1203,22.7,Vehicle Breakdown,2026-06-20
DLY-5396,SHP-1525,65.6,Customs,2026-06-05
DLY-5397,SHP-1407,45.5,Weather,2026-05-14
DLY-5398,SHP-1526,32.1,Customs,2026-05-22
DLY-5399,SHP-1184,15.0,Weather,2026-05-14
DLY-5400,SHP-1310,54.3,Vehicle Breakdown,2026-06-02
DLY-5401,SHP-1275,24.8,Weather,2026-06-09
DLY-5402,SHP-1249,49.6,Vehicle Breakdown,2026-05-15
DLY-5403,SHP-1540,47.7,Customs,2026-07-10
DLY-5404,SHP-1071,5.1,Weather,2026-05-25
DLY-5405,SHP-1165,9.6,Vehicle Breakdown,2026-06-05
DLY-5406,SHP-1375,15.0,Traffic,2026-06-11
DLY-5407,SHP-1068,23.3,Port Congestion,2026-08-07
DLY-5408,SHP-1034,49.9,Customs,2026-08-09
DLY-5409,SHP-1127,38.0,Traffic,2026-06-06
DLY-5410,SHP-1155,67.5,Customs,2026-05-28
DLY-5411,SHP-1492,60.9,Port Congestion,2026-05-25
DLY-5412,SHP-1096,55.6,Vehicle Breakdown,2026-06-21
DLY-5413,SHP-1404,25.7,Port Congestion,2026-05-27
DLY-5414,SHP-1157,62.1,Vehicle Breakdown,2026-05-15
DLY-5415,SHP-1508,38.7,Customs,2026-05-19
DLY-5416,SHP-1038,3.4,Vehicle Breakdown,2026-06-14
DLY-5417,SHP-1001,57.8,Traffic,2026-07-21
DLY-5418,SHP-1140,71.9,Customs,2026-07-30
DLY-5419,SHP-1361,65.9,Port Congestion,2026-05-25
DLY-5420,SHP-1533,33.7,Weather,2026-06-14
DLY-5421,SHP-1211,4.3,Weather,2026-08-10
DLY-5422,SHP-1269,35.9,Customs,2026-05-15
DLY-5423,SHP-1253,7.9,Weather,2026-05-21
DLY-5424,SHP-1541,34.5,Vehicle Breakdown,2026-06-24
DLY-5425,SHP-1307,41.4,Weather,2026-06-26
DLY-5426,SHP-1287,2.1,Vehicle Breakdown,2026-06-05
DLY-5427,SHP-1343,65.3,Vehicle Breakdown,2026-05-19
DLY-5428,SHP-1008,34.6,Port Congestion,2026-06-29
DLY-5429,SHP-1337,25.0,Vehicle Breakdown,2026-07-02
DLY-5430,SHP-1097,11.6,Traffic,2026-06-09
DLY-5431,SHP-1465,25.9,Customs,2026-05-26
DLY-5432,SHP-1531,58.0,Vehicle Breakdown,2026-06-26
DLY-5433,SHP-1545,7.5,Customs,2026-08-02
DLY-5434,SHP-1372,13.3,Weather,2026-06-20
DLY-5435,SHP-1403,33.7,Weather,2026-06-08
DLY-5436,SHP-1444,63.9,Port Congestion,2026-07-11
DLY-5437,SHP-1232,11.0,Traffic,2026-06-19
DLY-5438,SHP-1061,22.9,Port Congestion,2026-05-31
DLY-5439,SHP-1344,16.8,Vehicle Breakdown,2026-05-16
DLY-5440,SHP-1242,21.9,Weather,2026-07-23
DLY-5441,SHP-1483,34.2,Port Congestion,2026-07-24
DLY-5442,SHP-1134,29.4,Port Congestion,2026-07-03
DLY-5443,SHP-1251,33.0,Customs,2026-06-21
