shipment_id,current_location,destination,status,delay_risk,eta
SHP-1137,Bangalore Facility,Hyderabad Station,Delivered,58.3,2026-08-12
SHP-1138,Chennai Port,Pune DC,In Transit,54.2,2026-08-23
SHP-1139,Hyderabad Station,Chennai Port,In Transit,95.1,2026-08-12
SHP-1140,Delhi Central,Hyderabad Station,Delivered,58.6,2026-08-23
SHP-1141,Chennai Port,Hyderabad Station,Delivered,63.9,2026-08-19
SHP-1142,Mumbai Hub,Chennai Port,Delivered,14.7,2026-08-13
SHP-1143,Pune DC,Pune DC,Delivered,61.0,2026-08-18
SHP-1144,Bangalore Facility,Chennai Port,Delayed,12.4,2026-08-15
SHP-1145,Hyderabad Station,Pune DC,Delivered,99.6,2026-08-18
SHP-1146,Pune DC,Bangalore Facility,In Transit,28.9,2026-08-22
SHP-1147,Pune DC,Chennai Port,Delivered,43.1,2026-08-16
SHP-1148,Bangalore Facility,Hyderabad Station,In Transit,64.4,2026-08-12
SHP-1149,Mumbai Hub,Delhi Central,In Transit,77.8,2026-08-16
SHP-1150,Chennai Port,Hyderabad Station,In Transit,10.5,2026-08-21
SHP-1151,Pune DC,Pune DC,In Transit,56.8,2026-08-17
SHP-1152,Bangalore Facility,Delhi Central,Pending,98.3,2026-08-20
SHP-1153,Mumbai Hub,Chennai Port,In Transit,10.6,2026-08-14
SHP-1154,Hyderabad Station,Delhi Central,In Transit,9.3,2026-08-16
SHP-1155,Delhi Central,Pune DC,In Transit,73.7,2026-08-23
SHP-1156,Chennai Port,Pune DC,In Transit,98.1,2026-08-12
SHP-1157,Bangalore Facility,Hyderabad Station,Delivered,32.3,2026-08-23
SHP-1158,Pune DC,Mumbai Hub,Delivered,25.3,2026-08-11
SHP-1159,Chennai Port,Bangalore Facility,Delivered,42.8,2026-08-13
SHP-1160,Delhi Central,Hyderabad Station,In Transit,0.1,2026-08-11
SHP-1161,Bangalore Facility,Delhi Central,In Transit,56.5,2026-08-12
SHP-1162,Pune DC,Chennai Port,In Transit,19.0,2026-08-22
SHP-1163,Chennai Port,Hyderabad Station,Delivered,48.3,2026-08-23
SHP-1164,Bangalore Facility,Pune DC,Delayed,16.0,2026-08-20
SHP-1165,Bangalore Facility,Mumbai Hub,Delivered,29.7,2026-08-12
SHP-1166,Hyderabad Station,Chennai Port,In Transit,40.9,2026-08-23
SHP-1167,Pune DC,Hyderabad Station,In Transit,77.2,2026-08-13
SHP-1168,Chennai Port,Bangalore Facility,In Transit,18.9,2026-08-23
SHP-1169,Hyderabad Station,Chennai Port,In Transit,78.7,2026-08-14
SHP-1170,Hyderabad Station,Mumbai Hub,Pending,86.5,2026-08-18
SHP-1171,Hyderabad Station,Bangalore Facility,In Transit,37.7,2026-08-12
SHP-1172,Bangalore Facility,Delhi Central,Pending,10.1,2026-08-14
SHP-1173,Pune DC,Delhi Central,Pending,7.1,2026-08-20
SHP-1174,Mumbai Hub,Pune DC,In Transit,32.9,2026-08-15
SHP-1175,Chennai Port,Chennai Port,Delivered,60.6,2026-08-12
SHP-1176,Hyderabad Station,Hyderabad Station,In Transit,47.3,2026-08-19
SHP-1177,Mumbai Hub,Bangalore Facility,In Transit,90.2,2026-08-11
SHP-1178,Delhi Central,Bangalore Facility,In Transit,61.2,2026-08-19
SHP-1179,Pune DC,Pune DC,Delivered,20.5,2026-08-23
SHP-1180,Pune DC,Bangalore Facility,Delivered,32.6,2026-08-21
SHP-1181,Chennai Port,Delhi Central,Delivered,18.3,2026-08-11
SHP-1182,Chennai Port,Hyderabad Station,In Transit,91.9,2026-08-16
SHP-1183,Delhi Central,Chennai Port,Delayed,88.6,2026-08-20
SHP-1184,Hyderabad Station,Mumbai Hub,In Transit,52.9,2026-08-12
SHP-1185,Pune DC,Pune DC,In Transit,89.2,2026-08-19
SHP-1186,Bangalore Facility,Hyderabad Station,In Transit,41.6,2026-08-15
SHP-1187,Bangalore Facility,Hyderabad Station,Delivered,97.8,2026-08-13
SHP-1188,Hyderabad Station,Chennai Port,Delivered,63.9,2026-08-21
SHP-1189,Pune DC,Delhi Central,Delayed,2.2,2026-08-16
SHP-1190,Delhi Central,Pune DC,Delivered,14.4,2026-08-19
SHP-1191,Hyderabad Station,Hyderabad Station,In Transit,10.9,2026-08-13
SHP-1192,Mumbai Hub,Hyderabad Station,In Transit,65.7,2026-08-12
SHP-1193,Chennai Port,Pune DC,Delivered,2.8,2026-08-19
SHP-1194,Chennai Port,Pune DC,In Transit,62.0,2026-08-19
SHP-1195,Mumbai Hub,Chennai Port,In Transit,13.2,2026-08-21
SHP-1196,Pune DC,Mumbai Hub,Delivered,70.0,2026-08-15
SHP-1197,Hyderabad Station,Delhi Central,In Transit,12.3,2026-08-11
SHP-1198,Mumbai Hub,Pune DC,Pending,73.0,2026-08-14
SHP-1199,Mumbai Hub,Mumbai Hub,In Transit,71.4,2026-08-15
SHP-1200,Chennai Port,Bangalore Facility,Delivered,93.0,2026-08-11
SHP-1201,Chennai Port,Mumbai Hub,In Transit,1.2,2026-08-23
SHP-1202,Pune DC,Pune DC,In Transit,7.4,2026-08-12
SHP-1203,Delhi Central,Delhi Central,Pending,44.3,2026-08-14
SHP-1204,Chennai Port,Pune DC,In Transit,96.6,2026-08-11
SHP-1205,Bangalore Facility,Delhi Central,In Transit,68.7,2026-08-20
SHP-1206,Chennai Port,Bangalore Facility,In Transit,16.9,2026-08-20
SHP-1207,Hyderabad Station,Pune DC,Delivered,15.7,2026-08-20
SHP-1208,Bangalore Facility,Chennai Port,Delivered,40.0,2026-08-14
SHP-1209,Delhi Central,Hyderabad Station,Delivered,54.0,2026-08-21
SHP-1210,Bangalore Facility,Mumbai Hub,In Transit,79.5,2026-08-21
SHP-1211,Delhi Central,Mumbai Hub,In Transit,16.4,2026-08-17
SHP-1212,Chennai Port,Mumbai Hub,Delivered,70.9,2026-08-19
SHP-1213,Chennai Port,Bangalore Facility,Delayed,20.6,2026-08-12
SHP-1214,Pune DC,Mumbai Hub,In Transit,98.4,2026-08-12
SHP-1215,Delhi Central,Hyderabad Station,Pending,33.0,2026-08-22
SHP-1216,Delhi Central,Chennai Port,Delayed,47.1,2026-08-16
SHP-1217,Delhi Central,Bangalore Facility,Delivered,56.9,2026-08-13
SHP-1218,Bangalore Facility,Mumbai Hub,Pending,65.4,2026-08-17
SHP-1219,Delhi Central,Delhi Central,Delivered,3.4,2026-08-21
SHP-1220,Chennai Port,Chennai Port,Delivered,9.0,2026-08-16
SHP-1221,Chennai Port,Hyderabad Station,Delivered,91.4,2026-08-22
SHP-1222,Mumbai Hub,Pune DC,Delayed,48.3,2026-08-13
SHP-1223,Bangalore Facility,Bangalore Facility,In Transit,27.5,2026-08-20
SHP-1224,Delhi Central,Chennai Port,Delivered,33.5,2026-08-20
SHP-1225,Mumbai Hub,Pune DC,Delivered,32.0,2026-08-19
SHP-1226,Mumbai Hub,Hyderabad Station,In Transit,46.5,2026-08-14
SHP-1227,Bangalore Facility,Bangalore Facility,Delivered,63.1,2026-08-23
SHP-1228,Pune DC,Bangalore Facility,In Transit,10.9,2026-08-20
SHP-1229,Delhi Central,Hyderabad Station,Delivered,62.7,2026-08-23
SHP-1230,Bangalore Facility,Delhi Central,Delayed,94.9,2026-08-20
SHP-1231,Chennai Port,Bangalore Facility,Delivered,34.6,2026-08-11
SHP-1232,Mumbai Hub,Hyderabad Station,Delivered,42.7,2026-08-18
SHP-1233,Delhi Central,Bangalore Facility,Pending,71.4,2026-08-23
SHP-1234,Bangalore Facility,Mumbai Hub,In Transit,35.8,2026-08-11
SHP-1235,Hyderabad Station,Chennai Port,In Transit,69.5,2026-08-13
SHP-1236,Delhi Central,Pune DC,In Transit,74.1,2026-08-21
SHP-1237,Mumbai Hub,Hyderabad Station,Delayed,83.1,2026-08-21
SHP-1238,Chennai Port,Delhi Central,Delivered,56.1,2026-08-20
SHP-1239,Chennai Port,Pune DC,Delivered,22.2,2026-08-21
SHP-1240,Mumbai Hub,Delhi Central,Delivered,24.1,2026-08-16
SHP-1241,Chennai Port,Hyderabad Station,In Transit,1.3,2026-08-16
SHP-1242,Bangalore Facility,Hyderabad Station,Delivered,61.6,2026-08-17
SHP-1243,Bangalore Facility,Delhi Central,Delivered,38.2,2026-08-12
SHP-1244,Delhi Central,Delhi Central,In Transit,89.8,2026-08-22
SHP-1245,Mumbai Hub,Mumbai Hub,In Transit,17.7,2026-08-19
SHP-1246,Mumbai Hub,Hyderabad Station,Delivered,80.7,2026-08-17
SHP-1247,Chennai Port,Chennai Port,Delivered,87.9,2026-08-15
SHP-1248,Delhi Central,Bangalore Facility,Delivered,8.2,2026-08-16
SHP-1249,Delhi Central,Hyderabad Station,Delivered,17.7,2026-08-14
SHP-1250,Hyderabad Station,Mumbai Hub,Delivered,74.4,2026-08-18
SHP-1251,Hyderabad Station,Mumbai Hub,Delivered,95.3,2026-08-17
SHP-1252,Chennai Port,Bangalore Facility,Delivered,11.4,2026-08-22
SHP-1253,Chennai Port,Pune DC,Delivered,66.6,2026-08-18
SHP-1254,Mumbai Hub,Mumbai Hub,Delayed,40.0,2026-08-19
SHP-1255,Chennai Port,Hyderabad Station,Delivered,78.7,2026-08-16
SHP-1256,Hyderabad Station,Hyderabad Station,Pending,47.6,2026-08-17
SHP-1257,Chennai Port,Delhi Central,Delivered,86.3,2026-08-11
SHP-1258,Mumbai Hub,Delhi Central,In Transit,73.9,2026-08-12
SHP-1259,Delhi Central,Chennai Port,In Transit,68.8,2026-08-14
SHP-1260,Bangalore Facility,Mumbai Hub,Delayed,76.0,2026-08-20
SHP-1261,Delhi Central,Hyderabad Station,In Transit,35.3,2026-08-16
SHP-1262,Chennai Port,Delhi Central,In Transit,26.0,2026-08-18
SHP-1263,Pune DC,Delhi Central,Delivered,84.6,2026-08-16
SHP-1264,Mumbai Hub,Bangalore Facility,In Transit,37.6,2026-08-23
SHP-1265,Hyderabad Station,Chennai Port,Delayed,5.3,2026-08-20
SHP-1266,Mumbai Hub,Bangalore Facility,Delivered,42.7,2026-08-22
SHP-1267,Bangalore Facility,Bangalore Facility,In Transit,4.1,2026-08-17
SHP-1268,Pune DC,Pune DC,Delivered,25.9,2026-08-15
SHP-1269,Mumbai Hub,Pune DC,Delivered,50.8,2026-08-16
SHP-1270,Delhi Central,Delhi Central,Delayed,21.7,2026-08-20
SHP-1271,Pune DC,Bangalore Facility,Delivered,48.3,2026-08-16
SHP-1272,Hyderabad Station,Hyderabad Station,Pending,87.0,2026-08-14
SHP-1273,Chennai Port,Mumbai Hub,Delivered,21.7,2026-08-14
SHP-1274,Pune DC,Bangalore Facility,Delivered,91.7,2026-08-12
SHP-1275,Chennai Port,Delhi Central,Delivered,68.8,2026-08-14
SHP-1276,Delhi Central,Pune DC,Delivered,75.1,2026-08-17
SHP-1277,Chennai Port,Delhi Central,Delivered,37.3,2026-08-17
SHP-1278,Bangalore Facility,Pune DC,Delivered,91.4,2026-08-23
SHP-1279,Delhi Central,Chennai Port,In Transit,78.8,2026-08-20
SHP-1280,Mumbai Hub,Hyderabad Station,Delivered,30.2,2026-08-17
SHP-1281,Delhi Central,Bangalore Facility,In Transit,68.8,2026-08-14
SHP-1282,Pune DC,Hyderabad Station,In Transit,32.6,2026-08-17
SHP-1283,Pune DC,Hyderabad Station,Pending,9.9,2026-08-19
SHP-1284,Pune DC,Mumbai Hub,Delayed,69.2,2026-08-11
SHP-1285,Pune DC,Pune DC,Delayed,47.2,2026-08-12
SHP-1286,Pune DC,Delhi Central,Delayed,32.8,2026-08-14
SHP-1287,Bangalore Facility,Mumbai Hub,Delivered,54.7,2026-08-18
SHP-1288,Pune DC,Pune DC,Delivered,80.3,2026-08-14
SHP-1289,Delhi Central,Bangalore Facility,In Transit,91.8,2026-08-22
SHP-1290,Hyderabad Station,Bangalore Facility,In Transit,31.2,2026-08-11
SHP-1291,Pune DC,Pune DC,Delivered,25.0,2026-08-17
SHP-1292,Delhi Central,Pune DC,Delivered,96.1,2026-08-16
SHP-1293,Hyderabad Station,Hyderabad Station,In Transit,70.3,2026-08-21
SHP-1294,Hyderabad Station,Mumbai Hub,Delivered,63.2,2026-08-15
SHP-1295,Delhi Central,Hyderabad Station,Delivered,39.3,2026-08-16
SHP-1296,Mumbai Hub,Hyderabad Station,Delivered,92.1,2026-08-21
SHP-1297,Mumbai Hub,Pune DC,In Transit,24.0,2026-08-23
SHP-1298,Bangalore Facility,Mumbai Hub,Delivered,27.9,2026-08-23
SHP-1299,Chennai Port,Hyderabad Station,Delivered,92.2,2026-08-12
SHP-1300,Mumbai Hub,Delhi Central,Pending,1.1,2026-08-20
SHP-1301,Mumbai Hub,Bangalore Facility,Delivered,8.1,2026-08-18
SHP-1302,Mumbai Hub,Chennai Port,Delivered,20.5,2026-08-16
SHP-1303,Pune DC,Delhi Central,Pending,85.5,2026-08-18
SHP-1304,Delhi Central,Mumbai Hub,Delayed,17.2,2026-08-14
SHP-1305,Hyderabad Station,Delhi Central,Pending,43.0,2026-08-20
SHP-1306,Chennai Port,Chennai Port,Delivered,39.9,2026-08-15
SHP-1307,Chennai Port,Chennai Port,Delivered,41.9,2026-08-13
SHP-1308,Mumbai Hub,Mumbai Hub,Delivered,90.2,2026-08-13
SHP-1309,Hyderabad Station,Delhi Central,Delivered,50.4,2026-08-17
SHP-1310,Delhi Central,Chennai Port,Pending,89.3,2026-08-13
SHP-1311,Chennai Port,Chennai Port,In Transit,24.7,2026-08-22
SHP-1312,Bangalore Facility,Pune DC,In Transit,1.4,2026-08-11
SHP-1313,Delhi Central,Mumbai Hub,Delivered,8.1,2026-08-11
SHP-1314,Chennai Port,Pune DC,In Transit,49.8,2026-08-12
SHP-1315,Bangalore Facility,Delhi Central,In Transit,47.4,2026-08-23
SHP-1316,Pune DC,Delhi Central,Delivered,9.5,2026-08-14
SHP-1317,Hyderabad Station,Mumbai Hub,Delayed,66.6,2026-08-18
SHP-1318,Bangalore Facility,Pune DC,Delivered,45.7,2026-08-12
SHP-1319,Delhi Central,Hyderabad Station,In Transit,72.9,2026-08-23
SHP-1320,Bangalore Facility,Delhi Central,Pending,44.0,2026-08-20
SHP-1321,Bangalore Facility,Pune DC,Delivered,93.2,2026-08-22
SHP-1322,Bangalore Facility,Bangalore Facility,In Transit,98.7,2026-08-22
SHP-1323,Mumbai Hub,Mumbai Hub,In Transit,30.1,2026-08-14
SHP-1324,Bangalore Facility,Bangalore Facility,Delivered,73.4,2026-08-13
SHP-1325,Bangalore Facility,Hyderabad Station,In Transit,41.4,2026-08-13
SHP-1326,Chennai Port,Delhi Central,In Transit,23.9,2026-08-11
SHP-1327,Hyderabad Station,Bangalore Facility,In Transit,82.5,2026-08-17
SHP-1328,Pune DC,Chennai Port,Delivered,50.4,2026-08-23
SHP-1329,Pune DC,Delhi Central,Delivered,28.1,2026-08-14
SHP-1330,Chennai Port,Delhi Central,In Transit,96.1,2026-08-20
SHP-1331,Delhi Central,Chennai Port,Delivered,63.9,2026-08-20
SHP-1332,Hyderabad Station,Hyderabad Station,Delivered,38.2,2026-08-22
SHP-1333,Bangalore Facility,Chennai Port,Pending,44.7,2026-08-16
SHP-1334,Mumbai Hub,Hyderabad Station,In Transit,96.0,2026-08-22
SHP-1335,Delhi Central,Mumbai Hub,In Transit,25.7,2026-08-17
SHP-1336,Chennai Port,Hyderabad Station,Delivered,8.4,2026-08-20
SHP-1337,Mumbai Hub,Delhi Central,Delayed,34.3,2026-08-17
SHP-1338,Pune DC,Hyderabad Station,Pending,29.8,2026-08-23
SHP-1339,Delhi Central,Mumbai Hub,In Transit,83.8,2026-08-12
SHP-1340,Mumbai Hub,Pune DC,Delivered,86.4,2026-08-18
SHP-1341,Hyderabad Station,Chennai Port,Delayed,15.0,2026-08-23
SHP-1342,Delhi Central,Hyderabad Station,In Transit,13.4,2026-08-19
SHP-1343,Hyderabad Station,Pune DC,In Transit,8.3,2026-08-18
SHP-1344,Pune DC,Bangalore Facility,Delivered,40.7,2026-08-12
SHP-1345,Bangalore Facility,Hyderabad Station,In Transit,68.8,2026-08-11
SHP-1346,Mumbai Hub,Mumbai Hub,Delivered,64.0,2026-08-22
SHP-1347,Pune DC,Delhi Central,Pending,97.5,2026-08-23
SHP-1348,Bangalore Facility,Hyderabad Station,In Transit,22.9,2026-08-14
SHP-1349,Delhi Central,Delhi Central,In Transit,62.0,2026-08-13
SHP-1350,Delhi Central,Chennai Port,Delivered,25.1,2026-08-15
SHP-1351,Pune DC,Delhi Central,Delivered,52.7,2026-08-22
SHP-1352,Pune DC,Chennai Port,Delivered,52.1,2026-08-15
SHP-1353,Delhi Central,Mumbai Hub,Delivered,73.0,2026-08-18
SHP-1354,Mumbai Hub,Pune DC,In Transit,55.9,2026-08-12
SHP-1355,Mumbai Hub,Mumbai Hub,Delivered,3.0,2026-08-17
SHP-1356,Hyderabad Station,Mumbai Hub,Pending,78.2,2026-08-17
SHP-1357,Chennai Port,Delhi Central,In Transit,11.6,2026-08-17
SHP-1358,Mumbai Hub,Pune DC,Delivered,29.3,2026-08-19
SHP-1359,Bangalore Facility,Bangalore Facility,Delivered,32.2,2026-08-22
SHP-1360,Bangalore Facility,Delhi Central,In Transit,3.0,2026-08-12
SHP-1361,Chennai Port,Delhi Central,In Transit,79.7,2026-08-14
